Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Loxodonta africana,African savanna elephant,9785,Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Loxodonta,HLloxAfr4,ftp://ftp.broadinstitute.org/pub/assemblies/mammals/elephant/loxAfr4/,65481,94531929,mouse
Lutra lutra,Eurasian river otter,9657,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Lutra,HLlutLut1,GCA_902655055.1,30403456,149004807,mouse
Lycaon pictus,African hunting dog,9622,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon,HLlycPic2,GCA_004216515.1,61225,7494581,mouse
Lycaon pictus,African hunting dog,9622,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon,HLlycPic3,DNA Zoo Consortium,97659,62683413,mouse
Lynx canadensis,Canada lynx,61383,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx,HLlynCan1,GCA_007474595.1,7503561,146106016,mouse
Lynx pardinus,Spanish lynx,191816,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx,HLlynPar1,GCA_900661375.1,99542,1519745,mouse
Macaca fascicularis,crab-eating macaque,9541,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca,HLmacFas6,GCA_012559485.1,26269796,149875912,mouse
Macaca fuscata,Japanese macaque,9542,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca,HLmacFus1,DNA Zoo Consortium,87996,149352196,mouse
Macaca mulatta,Rhesus monkey,9544,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca,rheMac10,GCF_003339765.1,46608966,82346004,mouse
Macaca nemestrina,pig-tailed macaque,9545,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca,macNem1,GCF_000956065.1,106897,15219753,mouse
Macroglossus sobrinus,Long-tongued fruit bat,326083,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Macroglossinae; Macroglossus,HLmacSob1,GCA_004027375.1,338389,453401,mouse
Macropus fuliginosus,western gray kangaroo,9316,Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Macropus,HLmacFul1,DNA Zoo Consortium,29932,341276260,mouse
Macropus giganteus,eastern gray kangaroo,9317,Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Macropus,HLmacGig1,DNA Zoo Consortium,41233,392871110,mouse
Macrotus californicus,California big-eared bat,9419,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Phyllostominae; Macrotus,HLmacCal1,GCA_007922815.1,16386,16925,mouse
Madoqua kirkii,Kirk's dik-dik,66434,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Madoqua,HLmadKir1,GCA_006408675.1,27722,27730,mouse
Mandrillus leucophaeus,drill,9568,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus,manLeu1,GCF_000951045.1,31346,3186748,mouse
Mandrillus sphinx,mandrill,9561,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus,HLmanSph1,GCA_004802615.1,21683,3577924,mouse
Mandrillus sphinx,mandrill,9561,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus,HLmanSph2,DNA Zoo Consortium,20976,149088477,mouse
Manis javanica,Malayan pangolin,9974,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis,HLmanJav1,GCA_001685135.1,38922,204728,mouse
Manis javanica,Malayan pangolin,9974,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis,HLmanJav2,GCA_014570535.1,83964,13854118,mouse
Manis pentadactyla,Chinese pangolin,143292,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis,HLmanPen2,GCA_014570555.1,151937,7836868,mouse
Manis pentadactyla,Chinese pangolin,143292,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis,manPen1,GCA_000738955.1,28718,117920,mouse
Manis tricuspis,Tree pangolin,358128,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis,HLmanTri1,GCA_004765945.1,23755,25241,mouse
Marmota flaviventris,yellow-bellied marmot,93162,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota,HLmarFla1,GCA_003676075.2,143681,11407078,mouse
Marmota himalayana,Himalayan marmot,93163,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota,HLmarHim1,GCA_005280165.1,102162,1497034,mouse
Marmota marmota marmota,Alpine marmot,9994,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota; Marmota marmota,HLmarMar1,GCF_001458135.1,66492,31340621,mouse
Marmota monax,woodchuck,9995,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota,HLmarMon1,GCA_901343595.1,189547,892188,mouse
Marmota monax,woodchuck,9995,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota,HLmarMon2,GCA_014533835.1,1094236,1094236,mouse
Marmota vancouverensis,Vancouver marmot,93167,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota,HLmarVan1,GCA_005458795.1,11502,1590947,mouse
Martes zibellina,sable,36722,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Martinae; Martes,HLmarZib1,GCA_012583365.1,62196,5199373,mouse
Mastacomys fuscus,broad-toothed rat,337222,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mastacomys,HLmasFus1,DNA Zoo Consortium,371229,104439433,mouse
Mastomys coucha,southern multimammate mouse,35658,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mastomys,HLmasCou1,GCA_008632895.1,30483,118621203,mouse
Megaderma lyra,Indian false vampire,9413,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Megadermatidae; Megaderma,HLmegLyr2,GCA_004026885.1,71674,96489,mouse
Megaptera novaeangliae,humpback whale,9773,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Megaptera,HLmegNov1,GCA_004329385.1,12321,9138802,mouse
Megaptera novaeangliae,humpback whale,9773,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Megaptera,HLmegNov2,DNA Zoo Consortium,55183,94294397,mouse
Mellivora capensis,ratel,9664,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mellivoriane; Mellivora,HLmelCap1,GCA_004024625.1,50213,59143,mouse
Meriones unguiculatus,Mongolian gerbil,10047,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Meriones,HLmerUng1,GCA_002204375.1,46546,374687,mouse
Mesocricetus auratus,golden hamster,10036,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus,HLmesAur2,DNA Zoo Consortium,17140,114151861,mouse
Mesocricetus auratus,golden hamster,10036,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus,HLmesAur3,GCF_017639785.1,9471653,85184847,mouse
Mesocricetus auratus,golden hamster,10036,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus,mesAur1,GCF_000349665.1,22511,12753307,mouse
Mesoplodon bidens,Sowerby's beaked whale,48745,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon,HLmesBid1,GCA_004027085.1,28959,33532,mouse
Mesoplodon densirostris,Blainville's beaked whale,48708,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon,HLmesDen1,DNA Zoo Consortium,30937,88062146,mouse
Mesoplodon europaeus,Gervais' beaked whale,27616,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon,HLmesEur1,DNA Zoo Consortium,44561,90973712,mouse
Mesoplodon stejnegeri,Stejneger's beaked whale,52114,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon,HLmesSte1,DNA Zoo Consortium,31904,89064517,mouse
Microcebus murinus,gray mouse lemur,30608,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus,micMur3,GCF_000165445.2,210702,108171978,mouse
Microcebus sp. 3 GT-2019,unclassified mouse lemur,2508170,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus; unclassified Microcebus,HLmicSpe31,GCA_008750915.1,38130,38968,mouse
Microcebus tavaratra,Northern rufous mouse lemur,143351,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus,HLmicTav1,GCA_008750935.1,29527,30039,mouse
Microgale talazaci,Talazac's shrew tenrec,176115,Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Oryzorictinae; Microgale,HLmicTal1,GCA_004026705.1,56946,65143,mouse
Micronycteris hirsuta,hairy big-eared bat,148065,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Phyllostominae; Micronycteris,HLmicHir1,GCA_004026765.1,62961,68868,mouse
Microtus agrestis,short-tailed field vole,29092,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus,HLmicAgr2,GCA_902806775.1,2938971,2938971,mouse
Microtus arvalis,Common vole,47230,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus,HLmicArv1,GCA_007455615.1,34797,52876,mouse
Microtus fortis,reed vole,100897,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus,HLmicFor1,GCA_014885135.1,90682,9992017,mouse
Microtus ochrogaster,prairie vole,79684,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus,micOch1,GCF_000317375.1,21250,17270019,mouse
Microtus oeconomus,root vole,64717,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus,HLmicOec1,GCA_007455595.1,51221,114768,mouse
Miniopterus natalensis,Natal long-fingered bat,291302,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Miniopteridae; Miniopterus,HLminNat1,GCA_001595765.1,29777,4315193,mouse
Miniopterus schreibersii,Schreibers' long-fingered bat,9433,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Miniopteridae; Miniopterus,HLminSch1,GCA_004026525.1,82539,108707,mouse
Mirounga angustirostris,Northern elephant seal,9716,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga,HLmirAng2,DNA Zoo Consortium,75715,139676048,mouse
Mirounga leonina,Southern elephant seal,9715,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga,HLmirLeo1,GCA_011800145.1,197908,54232831,mouse
Mirza coquereli,Coquerel's mouse lemur,47180,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza,HLmirCoq1,GCA_004024645.1,60596,79947,mouse
Mirza zaza,Northern giant mouse lemur,339999,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza,HLmirZaz1,GCA_008750895.1,73499,75843,mouse
Molossus molossus,Pallas's mastiff bat,27622,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Molossidae; Molossus,HLmolMol2,Bat1K published,21658165,110665204,mouse
Monodelphis domestica,gray short-tailed opossum,13616,Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Monodelphis,monDom5,GCF_000002295.2,108014,59809810,mouse
Monodon monoceros,narwhal,40151,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon,HLmonMon1,GCA_005190385.2,255327,107566389,mouse
Mormoops blainvillei,Antillean ghost-faced bat,118852,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Mormoopidae; Mormoops,HLmorBla1,GCA_004026545.1,142682,156292,mouse
Moschus berezovskii,Chinese forest musk deer,68408,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus,HLmosBer1,GCA_006459085.1,57706,2509225,mouse
Moschus chrysogaster,alpine musk deer,68412,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus,HLmosChr1,GCA_006461725.1,3769,100428,mouse
Moschus moschiferus,Siberian musk deer,68415,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus,HLmosMos1,GCA_004024705.2,34785,11728851,mouse
Mungos mungo,banded mongoose,210652,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Mungos,HLmunMug1,GCA_004023785.1,180702,236501,mouse
Muntiacus crinifrons,black muntjac,71854,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus,HLmunCri1,GCA_006408485.1,8265,1305444,mouse
Muntiacus muntjak,muntjak,9888,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus,HLmunMun1,GCA_008782695.1,215534,682452208,mouse
Muntiacus reevesi,Reeves' muntjac,9886,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus,HLmunRee1,GCA_008787405.1,225142,94101870,mouse
Murina aurata feae,Little tube-nosed bat,1453894,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Murina; Murina aurata,HLmurAurFea1,GCA_004026665.1,23400,26051,mouse
Mus caroli,Ryukyu mouse,10089,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,HLmusCar1,GCA_900094665.2,30916,122627250,mouse
Mus pahari,shrew mouse,10093,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Coelomys,HLmusPah1,GCA_900095145.2,29465,111406228,mouse
Mus spicilegus,steppe mouse,10103,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,HLmusSpi1,GCA_003336285.1,30918,2198966,mouse
Mus spretus,western wild mouse,10096,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,HLmusSpr1,GCA_001624865.1,17887,131945496,mouse
Muscardinus avellanarius,hazel dormouse,39082,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Muscardinus,HLmusAve1,GCA_004027005.1,44294,59013,mouse
Mustela erminea,ermine,36723,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela,HLmusErm1,GCA_009829155.1,36329944,130149454,mouse
Mustela putorius,European polecat,9668,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela,HLmusPut1,GCA_902460205.1,5344676,14727874,mouse
Mustela putorius furo,domestic ferret,9669,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela; Mustela putorius,HLmusFur2,GCA_011764305.1,23598655,23598655,mouse
Myocastor coypus,nutria,10157,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Myocastoridae; Myocastor,HLmyoCoy1,GCA_004027025.1,28446,35982,mouse
Myodes glareolus,Bank vole,447135,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Myodes,HLmyoGla2,GCA_902806735.1,74950,20649317,mouse
Myotis brandtii,Brandts myotis bat,109478,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,myoBra1,GCF_000412655.1,23289,3225832,mouse
Myotis davidii,Davids myotis bat,225400,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,myoDav1,GCF_000327345.1,15182,3454484,mouse
Myotis lucifugus,little brown bat,59463,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,HLmyoLuc1,DNA Zoo Consortium,61531,95464383,mouse
Myotis lucifugus,little brown bat,59463,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,myoLuc2,GCF_000147115.1,64330,4293315,mouse
Myotis myotis,greater mouse-eared bat,51298,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,HLmyoMyo6,Bat1K published,11795106,94448911,mouse
Myotis septentrionalis,Northern long-eared myotis,258941,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Myotis,HLmyoSep1,DNA Zoo Consortium,205441,96689946,mouse
Myrmecophaga tridactyla,giant anteater,71006,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Myrmecophaga,HLmyrTri1,GCA_004026745.1,36434,41255,mouse
Nanger granti,Grant's gazelle,27591,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Nanger,HLnanGra1,GCA_006408635.1,7454,528456,mouse
Nannospalax galili,Upper Galilee mountains blind mole rat,1026970,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax,nanGal1,GCF_000622305.1,30353,3618479,mouse
Nasalis larvatus,proboscis monkey,43780,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Nasalis,nasLar1,GCA_000772465.1,13295,137426304,mouse
Nasua narica,White-nosed coati,352831,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Nasua,HLnasNar1,DNA Zoo Consortium,64078,119764535,mouse
Neofelis nebulosa,Clouded leopard,61452,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Neofelis,HLneoNeb1,DNA Zoo Consortium,76067,147111411,mouse
Neomonachus schauinslandi,Hawaiian monk seal,29088,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Neomonachus,neoSch1,GCF_002201575.1,112698,29518589,mouse
Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,1706337,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Neophocaena; Neophocaena asiaeorientalis,HLneoAsi1,GCA_003031525.1,86003,6341296,mouse
Neotoma lepida,desert woodrat,56216,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Neotoma,HLneoLep1,GCA_001675575.1,9584,151693,mouse
Neotragus moschatus,suni,66442,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus,HLneoMos1,GCA_006410615.1,59277,952090,mouse
Neotragus pygmaeus,royal antelope,1027985,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus,HLneoPyg1,GCA_006410875.1,30751,363895,mouse
